OWC,ID,eHRAF.Name,NAME,ea033,hier_beyond_com,intensity_agricult,class_strat,community_size,
OQ12,102,NA,Mbau Fijians,3,3,4,2,6,
OP04,103,NA,Ajie,2,2,6,1,2,
OZ04,104,NA,Maori,2,2,3,4,4,
OX06,105,NA,Marquesans,2,2,4,4,3,
OU08,106,NA,Western Samoans,3,3,4,4,4,
OR06,107,NA,Gilbertese,2,2,NA,NA,NA,
OR11,108,NA,Marshallese,2,2,4,4,3,
OR19,109,NA,Trukese,1,1,4,1,3,
OR22,110,NA,Yapese,2,2,4,4,2,
OR15,111,NA (Belau),Palauans,3,3,4,4,2,CRE put in name
OA19,112,Ifagao,Ifugao,1,1,6,2,3,
AD08,113,NA,Atayal,2,2,3,1,3,
AE15,114,NA (Han Chinese),Chinese,NA,5,6,5,6,CRE put in name
AG04,115,NA,Manchu,NA,NA,5,2,NA,
AA01,116,Korea,Koreans,3,3,6,5,8,
AB43,117,NA,Japanese,5,5,6,5,8,
AB06,118,NA,Ainu,2,2,3,1,1,
RX02,119,NA,Gilyak,1,1,1,1,2,
RV03,120,NA,Yukaghir,1,1,1,1,2,
RY02,121,Chuuk,Chukchee,1,1,1,2,1,
NA08,122,NA,Ingalik,NA,NA,NA,NA,NA,
NA06,123,NA,Aleut,1,1,1,4,4,
ND08,124,NA,Copper Eskimo,1,1,1,1,1,
NH06,125,NA,Montagnais,1,1,1,1,3,
NJ05,126,NA,Micmac,NA,NA,NA,NA,NA,
NG06,127,Ojibway,Saulteaux,1,1,1,1,3,
ND14,128,NA,Slave,NA,NA,NA,NA,NA,
ND12,129,NA,Kaska,1,1,1,1,1,
NA07,130,NA,Eyak,2,2,1,2,1,
NE09,131,NA,Haida,1,1,1,4,3,
NE06,132,NA,Bellacoola,1,1,1,4,2,
NR26,133,NA,Twana,1,1,1,2,1,
NS31,134,NA,Yurok,1,1,1,2,1,
NS18,135,NA,Pomo (Eastern),1,1,1,2,4,
NS29,136,NA,Yokuts (Lake),1,1,1,2,4,
NR13,137,NA,Paiute (Northna),1,1,6,1,1,
NR10,138,Klamath,Klamath,1,1,1,2,1,
NF08,139,NA,Kutenai,2,2,1,1,3,
NQ13,140,NA,Gros Ventre,2,2,1,1,3,
NQ14,141,NA,Hidatsa,1,1,5,1,5,
NQ18,142,Pawnee,Pawnee,2,2,3,4,4,
NQ21,143,NA,Omaha,2,2,3,1,6,
NG05,144,NA,Huron,2,2,3,2,5,
NN11,145,NA,Creek,NA,NA,NA,NA,NA,
NO08,146,NA,natchez,2,2,3,3,5,
NO06,147,NA,Comanche,1,1,1,1,4,
NT08,148,NA,Chiricahua,1,1,2,1,2,
NT23,149,NA,Zuni,1,1,6,1,6,
NT14,150,NA,Havasupai,1,1,6,1,3,
NU79,151,NA,Papago,1,1,6,1,NA,
NU19,152,NA,Huichol,1,1,3,2,4,
NU07,153,NA,Aztec,3,3,6,5,8,
NU30,154,NA,Popoluca,1,1,3,1,5,
NW10,155,NA,Quiche,NA,NA,NA,NA,NA,
SA15,156,NA,Miskito,2,2,3,1,3,
SA19,157,NA,Bribri,1,1,3,1,2,
SB05,158,Kuna,Cuna (Tule),2,2,3,2,2,
SC13,159,NA,Goajiro,1,1,2,2,1,
SV03,160,NA,Haitians,4,4,5,5,8,
ST13,161,NA,Callinago,1,1,5,1,4,
SS18,162,Warao,Warrau,1,1,2,1,2,
SQ18,163,Yanoama,Yanomamo,1,1,3,1,2,
SR09,164,NA,Carib (Barama),1,1,3,1,1,
SR15,165,Saramaka,Saramacca,3,3,3,1,3,
SQ13,166,NA,Mundurucu,1,1,3,1,3,
SQ19,167,Tukano,Cubeo (Tucano),1,1,3,1,1,
SD06,168,NA,Cayapa,1,1,4,1,5,
SD09,169,Jivaro,Jivaro,NA,NA,NA,NA,NA,
SE06,170,NA,Amahuaca,1,1,3,1,1,
SE13,171,NA,Inca,5,5,6,5,3,
SF05,172,Aymara,Aymara,NA,NA,3,2,5,
SF21,173,NA,Siriono,1,1,3,1,1,
SP17,174,NA,nambicuara,1,1,3,1,1,
SP23,175,NA,Trumai,1,1,3,1,1,
SO08,176,NA,Timbira,NA,NA,NA,NA,NA,
SO09,177,NA,Tupinamba,2,2,3,2,5,
SN02,178,NA,Botocudo,NA,NA,NA,NA,NA,
SP26,179,NA,Shavante,1,1,3,1,3,
