SCCS_ID,socname,KT_3,KT_4,KT_5,KT_3_Tr,KT_4_Tr,KT_5_Tr,BT,Unilineal,Unilineal_Type,code_68,code_label_68,code_80,code_label_80,,,,,,,,,,,
25,Pastoral Fulani,3,3,3,3,3,3,3,,,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
26,Hausa,3,3,3,3,3,3,3,,,9,>20% polygyny,4,Small extended,,,,,,,,,,,
27,Massa (Masa),3,3,3,3,3,3,3,,,9,>20% polygyny,4,Small extended,,,,,,,,,,,
29,Fur (Darfur),3,3,3,3,3,3,3,,,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
30,Otoro Nuba,,,,,,,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
32,Mao,,,,,,,,1,3,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
34,Masai,6,6,6,6,6,6,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
35,Konso,5,5,5,5,5,5,,1,3,6,"Stem family, < 20 % polygyny",3,Stem Family,,,,,,,,,,,
36,Somali,,,,,,,,1,3,3,"Polygynous, > 20%",2,Nuclear Poygynous,,,,,,,,,,,
37,Amhara,2,2,2,3,3,3,2,,,10,"Large extended, monogamy",5,Large extended,,,,,,,,,,,
39,Kenuzi Nubians,3,3,3,3,3,3,3,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
40,Teda,6,6,6,6,6,6,,1,3,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
42,Riffians,7,7,7,7,7,7,,1,3,11,"Large extended, <20% polygyny",5,Large extended,,,,,,,,,,,
43,Egyptians,7,7,7,7,7,7,,1,3,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
44,Hebrews,,,,,,,,,,8,"Small extended, <20 % polygamy",4,Small extended,,,,,,,,,,,
45,Babylonians,1,1,1,3,3,3,1,,,2,"Monogamous, <20% polygyny",2,Nuclear Poygynous,,,,,,,,,,,
