SCCS.ID,eHRAF.Name,OWC,IBSS.Sample,LS1_Resolved,LS2_Res_IA_2,LS3_Res_IA_2,LS4_Res_IA_2,LS5_Res_IA_2,LS2LS3Sum_IA_2,LS2LS3LS4Sum_IA_2,S1Resolved,S2_Resolved_IA_TR,S3_Resolved_IA_TR,S4_Resolved_IA_TR,SumS2S3_corrected,S5Resolved,S6Resolved,S8Resolved,S2bRes_outside,S3bRes_outside,S4bRes_outside,S5bRes_outside,S6bRes_outside,S2cRes_nonkin,S3cRes_nonkin,S4cRes_nonkin,S5cRes_nonkin,S6cRes_nonkin,LS2d_outside_Res,LS2e_nonkin_Res,LS3d_outside_Res,LS3e_nonkin_Res,LS4d_outside_Res,LS4e_nonkin_Res,LS5d_outside_Res,LS5e_nonkin_Res,S1_Resolved,S5_Resolved,S6_Resolved,LS2b_communal_Res,LS3b_communal_Res,LS4b_communal_Res,LS5b_communal_Res,LS6b_communal_Res,LS2c_leader_Res,LS3c_leader_Res,LS4c_leader_Res,LS5c_leader_Res,LS6c_leader_Res,LS7c_leader_Res,LS6d_outside_Res,LS7d_outside_Res,LS6e_nonkin_Res,LS7e_nonkin_Res
NA,Taiwan Hokkien,AD05,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,1,1,1,1,NA,1,1,1,1,NA,NA,1,1,1,1,1,1,1,1,1,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
NA,Tarahumara,NU33,NA,1,0,1,1,1,1,2,NA,0,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,1,1,1,NA,1,NA,1,NA,1,NA,0,0,0,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA
16,Tiv,FF57,NA,1,0,1,1,1,1,2,NA,1,1,1,2,NA,NA,NA,0,1,NA,1,NA,1,1,1,1,1,NA,NA,1,1,0,1,1,1,1,1,1,NA,0,0,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA
NA,Tlingit,NA12,NA,1,0,0,1,1,0,1,NA,1,1,1,2,NA,NA,NA,0,1,1,1,1,NA,NA,NA,1,0,NA,NA,NA,NA,0,1,1,0,1,1,1,NA,NA,1,1,NA,NA,NA,0,0,NA,0,NA,0,NA,NA
167,Tukano,SQ19,NA,1,1,1,1,1,2,3,NA,1,1,1,2,NA,NA,NA,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,1,0,1,1,NA,1,NA,0,NA,0
NA,Yakut,RV02,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Yanoama,SQ18,NA,1,0,1,1,1,1,2,NA,1,0,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,0,NA,0,0,0,1,1,1,NA,NA,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,0,NA,NA
NA,Zapotec,NU44,NA,1,1,1,1,1,2,3,NA,0,1,1,1,NA,NA,NA,NA,NA,0,0,NA,NA,1,1,1,NA,0,0,NA,NA,0,1,1,1,1,1,NA,0,0,0,0,NA,0,1,0,0,NA,NA,NA,NA,NA,NA
5,Mbundu,FP13,NA,1,0,0,1,1,0,1,1,0,0,1,0,1,1,,0,0,0,NA,1,0,0,1,NA,1,0,0,0,0,1,1,0,NA,1,1,1,0,0,1,0,NA,0,0,1,0,NA,0,NA,1,NA,1
135,Pomo,NS18,NA,1,NA,1,NA,NA,NA,NA,1,1,1,0,2,1,0,NA,0,1,NA,0,0,0,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
136,Yokuts,NS29,NA,1,0,1,1,0,1,2,1,1,1,1,2,1,1,NA,0,1,1,1,1,1,1,1,1,1,NA,NA,0,NA,1,NA,NA,NA,1,1,1,NA,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
