"ID","OWC","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","fd_hazards_freq_PC"
"167","SQ19",7,0,0,0,0,0,7,-1.09761872695298
"168","SD06",7,0,0,0,0,0,7,-1.09761872695298
"172","SF05",6,0,6,5,5,0,0,1.12477252898266
"173","SF21",7,NA,NA,NA,NA,NA,7,NA
"182","SK15",5,0,5,4,4,5,4,1.47128797006939
"184","SG04",5,0,5,0,0,4,0,0.449254303789629
"185","SH05",7,0,0,0,0,0,7,-1.09761872695298
"186","SH06",7,0,0,0,0,0,0,-1.09761872695298
"201","AD05",7,0,6,4,0,0,7,0.0437427018203094
"202","AR07",4,3,NA,NA,NA,3,NA,NA
"203","AX04",7,NA,NA,7,NA,NA,NA,NA
"204","EF06",7,0,2,2,2,0,0,-0.599088984407735
"205","ES10",5,0,5,0,0,4,0,0.449254303789629
"206","FA16",7,0,2,7,0,2,0,-0.658085145290331
"207","MS14",3,NA,3,3,3,NA,NA,NA
"208","MT09",4,0,4,4,4,3,0,0.820493092498744
"209","MW11",4,0,4,0,0,0,0,-0.412801869689007
"210","NA12",7,5,NA,NA,NA,NA,4,NA
"214","NU33",7,NA,4,4,4,5,NA,1.24301568431473
"215","NU44",7,0,3,3,3,0,7,-0.100559241862488
"217","OQ06",7,2,3,5,0,0,0,-0.641074155443665
"218","RV02",7,3,7,5,5,7,4,2.40935129427728
"220","SH04",7,0,0,0,0,0,0,-1.09761872695298
"221","SI07",7,4,4,4,4,NA,4,NA
"222","SO11",7,0,5,5,5,0,0,0.896500243228005
"223","SP08",7,0,0,0,0,0,7,-1.09761872695298
"68","AK05",NA,NA,NA,NA,NA,NA,NA,NA
"71","AP04",0,0,0,0,0,0,0,-1.09761872695298
"57","MA11",NA,NA,NA,NA,NA,NA,NA,NA
"131","NE09",0,0,0,0,0,0,0,-1.09761872695298
"211","NF06",NA,NA,NA,NA,NA,NA,NA,NA
"212","NM09",NA,NA,NA,NA,NA,NA,NA,NA
"213","NT09",0,0,0,0,0,0,0,-1.09761872695298
"84","OF07",NA,NA,NA,NA,NA,NA,NA,NA
"104","OZ04",NA,NA,NA,NA,NA,NA,NA,NA
"158","SB05",0,0,0,0,0,0,0,-1.09761872695298
"219","SC07",0,0,0,0,0,0,0,-1.09761872695298
"181","SM04",NA,NA,NA,NA,NA,NA,NA,NA
"179","SP26",0,0,0,0,0,0,0,-1.09761872695298
"163","SQ18",0,0,0,0,0,0,0,-1.09761872695298
