"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
29,"MQ08",3,7,7,7,7,NA,NA,10,NA,4,1,1,0,1,0,1,2,1,NA,NA,1,NA,1,NA,NA,NA,0,1,NA,NA,NA,1,1,NA,0,NA,0,NA,NA,NA,NA,NA,6,NA,2,NA,NA,6,NA,NA,NA,0,0
30,"FJ21",2,4,4,4,4,NA,0,4,NA,2,1,0,1,1,1,1,2,1,0,1,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,7,1,5,4,4,4,1,NA,1.25989857437488,0,0
32,"MP19",2,0.25,NA,0.25,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,2,1,NA,-0.876255883656517,NA,0
34,"FL12",1,6,6,6,6,NA,0,3,"Maasai",2,NA,NA,NA,NA,NA,NA,NA,1,NA,0,1,NA,1,1,NA,NA,0,1,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,1,4,1,1,4,1,NA,0.224926341680277,6,6
35,"MP17",1,15,10,15,10,44,44,48,NA,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,0,NA,NA,NA,1,NA,NA,7,1,5,5,5,7,5,NA,1.95154520335657,1,1
36,"MO04",2,11.25,11,11.25,11,NA,0,9,"Somali",3,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,NA,NA,1,1,NA,0,NA,1,1,NA,1,NA,1,NA,1,NA,1,5,1,5,4,4,4,1,NA,1.25989857437488,0.5,0.5
37,"MP05",2,5,0,5,0,20,20,21,NA,4,1,0,0,1,1,0,1,1,0,1,1,1,1,1,NA,1,0,1,1,NA,0,1,1,1,0,0,0,0,0,0,0,1,7,3,1,7,1,1,7,3,-1.08731014306093,2,2
40,"MS22",1,8,8,8,8,NA,0,6,NA,2,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,1,NA,NA,NA,0,1,NA,NA,NA,1,1,0,0,NA,NA,0,NA,NA,NA,5,1,5,4,4,4,1,NA,1.25989857437488,NA,0
42,"MX03",3,0,0,0,0,NA,NA,1,"Shulh",2,1,0,1,1,1,1,2,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,0,0,NA,1,1,1,3,3,NA,NA,NA,NA,NA,3,NA,1,1
43,"MR13",3,10,5,10,5,20,20,24,NA,4,1,NA,1,NA,NA,NA,NA,1,0,1,1,1,1,1,NA,0,0,0,1,NA,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,7,3,4,NA,NA,4,7,3,NA,2,2
46,"MD04",1,3.5,3.5,3.5,3.5,NA,0,3,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,4,1,4,3,3,3,1,NA,0.552948302621611,2,2
47,"MB01",1,3,3,3,3,NA,0,4,NA,4,NA,0,NA,NA,NA,NA,NA,1,0,NA,1,NA,1,1,NA,NA,0,1,1,NA,NA,0,1,NA,0,NA,NA,NA,0,NA,NA,NA,5,4,4,3,3,1,1,4,0.130839783812792,4,4
51,"ER06",3,1.5,1.5,1.5,1.5,NA,NA,2,NA,3,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,NA,1,0,1,NA,1,1,0,1,0,0,0,0,0,1,1,0,7,NA,3,NA,NA,3,NA,NA,NA,0.25,0.25
