"ID","OWC","DQ","allhazards_H9a_sev_exposure_30","disaster_h9a_sev_exposure_30","allhazards_H9a_sev_exposure_30_IA","disaster_h9a_sev_exposure_30_IA","normative_est_count_30","normative_est_count_30_IA","allhazards_est_count_30_IA","eHRAF.Name","ea033","LS1_Resolved","LS2_Res_IA_2","LS3_Res_IA_2","LS4_Res_IA_2","LS5_Res_IA_2","LS2LS3Sum_IA_2","LS2LS3LS4Sum_IA_2","S1_Resolved","S2_Resolved_IA_TR","S3_Resolved_IA_TR","S4_Resolved_IA_TR","SumS2S3_corrected","S5_Resolved","S6_Resolved","S2bRes_outside","S3bRes_outside","S4bRes_outside","S5bRes_outside","S6bRes_outside","S2cRes_nonkin","S3cRes_nonkin","S4cRes_nonkin","S5cRes_nonkin","S6cRes_nonkin","LS2d_outside_Res","LS3d_outside_Res","LS4d_outside_Res","LS5d_outside_Res","LS2e_nonkin_Res","LS3e_nonkin_Res","LS4e_nonkin_Res","LS5e_nonkin_Res","all_freq_30_IA","sevnonfd_freq_30_IA","fd_freq_30_IA","all_freqdr_30_IA","all_freqsevdr_30_IA","all_freqLAPD_30_IA","all_freqfl_30_IA","sevnonfd_freq_30","fd_hazards_freq_PC","disaster_nonfd_sev_exposure_30","disaster_nonfd_sev_exposure_30_IA"
136,"NS29",1,NA,NA,0,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
138,"NR10",1,4.5,4,4.5,4,NA,0,4,"Klamath",1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,4,1,1,1,1,NA,-0.408236436532951,0,0
141,"NQ14",3,10.5,10,10.5,10,NA,NA,22,NA,1,1,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,NA,1,NA,0,1,NA,1,NA,1,1,NA,NA,0,NA,NA,NA,1,NA,7,NA,NA,2,NA,NA,NA,NA,NA,0,0
142,"NQ18",3,6,6,6,6,NA,NA,3,"Pawnee",2,1,NA,NA,NA,1,NA,NA,1,0,1,1,1,NA,1,NA,0,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,0,NA,NA,NA,0,4,NA,4,4,4,NA,NA,NA,NA,2,2
144,"NG05",1,12,12,12,12,NA,0,11,NA,2,1,0,1,1,0,1,2,1,0,1,1,1,1,1,NA,0,0,0,NA,NA,1,1,1,NA,NA,0,0,NA,NA,0,0,NA,6,1,5,4,4,5,1,NA,1.47095283377929,NA,0
150,"NT14",1,5,5,5,5,NA,0,4,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,1,5,1,1,1,5,NA,-0.18187853435696,6,6
151,"NU79",3,25,15,25,15,40,40,56,NA,1,1,1,0,1,1,1,2,1,1,1,1,2,1,1,0,1,1,0,1,0,0,NA,0,1,0,NA,NA,0,1,NA,0,1,7,NA,6,6,6,7,5,NA,2.44744121570544,4.5,4.5
154,"NU30",2,1,1,1,1,NA,0,1,NA,1,1,0,1,0,1,1,1,1,0,NA,1,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA,1,NA,1,3,1,3,3,3,1,1,NA,-0.0955181183632001,0,0
156,"SA15",1,NA,NA,0,0,NA,0,0,NA,2,1,0,1,1,1,1,2,1,1,0,1,1,1,1,0,NA,1,0,1,1,NA,1,1,1,0,0,0,0,0,0,NA,1,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
159,"SC13",1,6,6,6,6,NA,0,5,NA,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,0,0,NA,0,1,1,0,5,1,5,5,5,1,1,NA,0.896273906334527,1,1
160,"SV03",3,6,6,6,6,NA,NA,4,NA,4,1,1,NA,NA,NA,NA,NA,1,1,1,1,2,1,0,NA,0,NA,0,NA,NA,1,NA,1,NA,0,NA,NA,NA,1,NA,NA,NA,5,3,4,NA,NA,3,NA,3,NA,9,9
162,"SS18",2,0,NA,0,0,20,20,20,"Warao",1,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,0,NA,0,NA,NA,NA,NA,1,NA,NA,NA,0,0,NA,NA,0,1,NA,NA,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
164,"SR09",3,4,4,4,4,NA,NA,2,NA,1,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,NA,0,4,NA,4,4,4,NA,NA,NA,NA,NA,NA
165,"SR15",3,0.25,NA,0.25,NA,NA,NA,1,"Saramaka",3,1,0,1,1,1,1,2,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,1,0,0,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"SQ19",2,5,NA,5,0,20,20,20,"Tukano",1,1,1,1,1,1,2,3,1,1,1,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
168,"SD06",2,0,NA,0,0,20,20,20,NA,1,1,0,1,0,1,1,1,1,NA,NA,1,NA,NA,1,NA,NA,0,NA,1,NA,NA,1,NA,1,NA,1,NA,1,NA,0,NA,1,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
172,"SF05",1,18,18,18,18,NA,0,13,"Aymara",NA,1,0,0,1,1,0,1,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0,NA,0,NA,0,NA,0,1,6,1,6,5,5,1,1,NA,1.12263180851052,NA,0
173,"SF21",4,5,NA,5,NA,20,20,20,NA,1,1,1,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,NA,0,7,NA,NA,NA,NA,NA,7,NA,NA,NA,NA
182,"SK15",2,6.5,6,6.5,6,NA,0,8,NA,1,1,NA,1,NA,NA,NA,NA,1,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,5,1,5,4,4,5,4,NA,1.47095283377929,1.5,1.5
184,"SG04",1,6,6,6,6,NA,0,5,NA,1,1,1,0,1,1,1,2,1,NA,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,1,1,0,NA,1,1,0,NA,0,0,5,1,5,1,1,4,1,NA,0.451284243856269,2,2
185,"SH05",1,0.75,NA,0.75,0,NA,0,5,NA,1,1,1,1,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
186,"SH06",2,0,NA,0,0,20,20,20,NA,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,NA,NA,NA,1,1,NA,NA,NA,1,0,NA,NA,1,1,NA,NA,1,7,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
201,"AD05",1,21.25,21,21.25,21,20,20,33,"Taiwan Hokkien",NA,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,1,1,1,1,NA,1,1,1,1,NA,1,1,1,NA,1,1,1,7,1,6,4,1,1,7,NA,0.0444793678190323,0,0
202,"AR07",3,0,0,0,0,NA,NA,2,"Khasi",2,1,0,1,NA,NA,1,NA,1,0,1,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,3,NA,3,NA,4,4
203,"AX04",3,5,NA,5,NA,20,20,20,NA,4,1,1,1,1,1,2,3,1,0,1,0,1,1,1,NA,0,NA,0,NA,NA,1,NA,1,NA,0,0,0,0,0,1,1,0,7,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
204,"EF06",1,7,2,7,2,20,20,20,"Serbs",4,1,0,1,1,0,1,2,1,0,1,1,1,1,1,NA,1,0,0,NA,NA,1,1,1,1,NA,0,0,NA,NA,1,1,NA,7,1,2,2,2,1,1,NA,-0.591414130712064,2,2
205,"ES10",1,6,6,6,6,NA,0,4,"Highland Scots",NA,1,1,0,1,1,1,2,1,0,1,0,1,1,1,NA,NA,NA,NA,0,NA,1,NA,1,1,0,NA,0,NA,1,NA,1,1,5,1,5,1,1,4,1,NA,0.451284243856269,2,2
206,"FA16",2,17,12,17,12,20,20,40,"Dogon",2,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,0,0,0,1,NA,1,1,1,1,NA,0,0,0,NA,1,1,1,7,1,2,7,1,2,1,NA,-0.649897981480526,NA,0
207,"MS14",4,2,2,2,2,NA,NA,1,"Kanuri",4,1,0,1,1,1,1,2,1,1,0,1,1,1,1,0,NA,NA,NA,NA,1,NA,1,1,1,NA,0,0,0,NA,1,1,1,3,NA,3,3,3,NA,NA,NA,NA,2,2
208,"MT09",1,5,5,5,5,NA,0,3,NA,4,1,0,0,1,NA,0,1,1,0,1,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,4,4,4,3,1,NA,0.822486412794483,0,0
209,"MW11",2,4,4,4,4,NA,0,2,NA,2,1,1,0,1,1,1,2,1,0,1,1,1,NA,1,NA,1,0,NA,1,NA,NA,NA,NA,1,0,NA,1,0,NA,NA,NA,NA,4,1,4,1,1,1,1,NA,-0.408236436532951,NA,0
210,"NA12",3,5,0,5,0,24,24,32,"Tlingit",1,1,0,0,1,1,0,1,1,1,1,1,2,1,1,0,1,1,1,1,NA,NA,NA,1,0,NA,NA,0,1,NA,NA,1,0,7,5,NA,NA,NA,NA,4,5,NA,9,9
214,"NU33",3,15,4,15,4,44,44,46,"Tarahumara",1,1,0,1,1,1,1,2,1,0,1,1,1,NA,1,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,1,1,NA,1,NA,NA,7,NA,4,4,4,5,NA,NA,1.2445949316033,0,0
215,"NU44",2,1,1,1,1,20,20,24,NA,NA,1,1,1,1,1,2,3,1,0,1,1,1,1,NA,NA,NA,0,0,NA,NA,1,1,1,NA,0,NA,0,1,0,NA,1,1,7,1,3,3,3,1,7,NA,-0.0955181183632001,0.5,0.5
217,"OQ06",1,3,2,3,2,24,24,25,"Lau Fijians",3,1,0,1,1,1,1,2,1,NA,1,1,NA,1,1,NA,1,1,1,1,NA,1,1,1,NA,NA,1,1,1,NA,NA,0,NA,7,2,3,5,1,1,1,2,-0.634594338708943,2,2
218,"RV02",3,49,44,49,44,20,20,44,"Yukut",3,0.5,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,7,5,5,7,4,3,2.40426100770856,12,12
220,"SH04",1,NA,NA,0,0,NA,0,0,"Ona",1,1,0,1,NA,NA,1,NA,1,1,0,NA,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
221,"SI07",3,2,2,2,2,NA,NA,4,"Mataco",1,0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,4,4,4,4,NA,4,4,NA,4,4
222,"SO11",2,11,6,11,6,20,20,25,"Bahia Brazilia",5,1,0,1,0,1,1,1,1,0,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,7,1,5,5,5,1,1,NA,0.896273906334527,6,6
223,"SP08",2,NA,NA,0,0,NA,0,0,"Bororo",2,1,0,1,1,1,1,2,1,1,0,1,1,NA,NA,0,NA,NA,NA,NA,1,NA,1,NA,NA,NA,0,0,1,NA,1,1,1,7,1,1,1,1,1,7,NA,-1.08731014306093,NA,0
68,"AK05",4,NA,NA,NA,NA,NA,NA,NA,"Lepcha",2,1,0,NA,1,1,NA,NA,1,0,NA,1,NA,1,1,NA,NA,1,1,1,NA,NA,1,1,1,NA,NA,0,0,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"AP04",2,NA,NA,0,0,NA,0,0,NA,4,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,NA,1,NA,1,1,NA,1,1,1,NA,NA,0,0,NA,NA,1,1,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
57,"MA11",3,NA,NA,NA,NA,NA,NA,NA,"Kurds",3,1,0,NA,NA,NA,NA,NA,1,0,0,1,0,1,1,NA,NA,0,0,NA,NA,NA,1,1,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,"NE09",2,NA,NA,0,0,NA,0,0,NA,1,1,NA,1,NA,NA,NA,NA,1,0,NA,0,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
211,"NF06",4,NA,NA,NA,NA,NA,NA,NA,"Blackfoot",1,1,1,0,1,0,1,2,1,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"NM09",4,NA,NA,NA,NA,NA,NA,NA,"Iroquois",3,1,0,0,1,1,0,1,1,1,1,1,2,NA,1,0,0,1,NA,1,1,1,1,NA,1,0,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,"NT09",2,NA,NA,0,0,NA,0,0,"Hopi",1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,NA,0,0,1,1,NA,NA,1,1,0,NA,0,0,1,NA,1,1,1,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
84,"OF07",3,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0,1,0,1,1,1,1,0,0,1,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,0,0,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"OI20",4,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,NA,1,NA,1,1,NA,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,"OZ04",3,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,1,2,3,1,0,1,0,1,1,1,NA,1,NA,1,1,NA,NA,NA,1,1,0,0,1,1,0,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"SB05",1,NA,NA,0,0,NA,0,0,"Kuna",2,1,0,1,0,1,1,1,1,1,0,0,1,1,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
219,"SC07",2,NA,NA,0,0,NA,0,0,"Kogi",1,1,0,1,0,1,1,1,1,0,1,1,1,NA,1,NA,NA,1,NA,1,NA,NA,0,NA,1,NA,1,NA,1,NA,0,NA,1,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
181,"SM04",4,NA,NA,NA,NA,NA,NA,NA,"Guarani",1,1,0,0,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
179,"SP26",1,NA,NA,0,0,NA,0,0,NA,1,1,0,0,1,1,0,1,1,1,0,0,1,1,NA,0,NA,NA,0,NA,0,NA,NA,1,NA,0,NA,0,0,0,NA,0,1,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
163,"SQ18",1,NA,NA,0,0,NA,0,0,"Yanoama",1,1,0,1,1,1,1,2,1,1,0,1,1,1,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,0,0,0,NA,NA,0,1,1,1,1,1,1,1,1,NA,-1.08731014306093,NA,0
3,"FT06",NA,NA,NA,NA,NA,NA,NA,NA,"Tsonga",3,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,1,NA,0,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"FO46",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"FN11",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,1,1,0,NA,1,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"FN32",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"FL10",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"FO32",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"FH26",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,"FF26",NA,NA,NA,NA,NA,NA,NA,NA,"Igbo",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"FA18",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,"FC07",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"FJ23",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"MP14",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"MN06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"MR08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"MS25",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"MF07",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"MH07",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"EG01",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"EI09",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"EX08",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"RJ01",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"AW60",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"AE04",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"AM35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"AM04",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"AN07",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"AZ07",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"AX05",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"FY08",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"AN05",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"OH18",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"OF05",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,"OJ13",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
